Unnamed: 0,comment,timestamp,label
0,cốc cafe sáng xứng đáng chưa các ptiter ơi chúc mừng các bạn d24 ptit đi chuẩn bị quà chào đón các bạn tựu trường đâi,15/07/2024,neutral
1,bất ngờ quá năm nay siêu sale,27/09/2024,neutral
2,xin chúc mừng các bạn d24 đừng quên follow fanpag đoàn thanh niên học viện công nghệ bưu chính viễn thông để cập nhật những hoạt động thú vị dành cho các bạn tân sinh viên nhé,30/09/2024,neutral
3,đoàn thanh niên học viện công nghệ bưu chính viễn thông hóng chào tân năm nay quá đi ạaa,12/10/2024,neutral
4,chúc mừng các bạn d24 ptit,31/07/2024,neutral
5,ai học báo chí khummm,26/08/2024,negative
6,van anh chào nàng,05/09/2024,neutral
7,nguyen anh thơ hí,26/08/2024,positive
8,van anh tớ,04/07/2024,neutral
9,thanh mai,11/09/2024,positive
10,van anh toi,05/09/2024,neutral
11,lâm thành,01/10/2024,neutral
12,van anh tớ đâi,01/09/2024,neutral
13,hà chinh,13/10/2024,neutral
14,bằng điểm đỗ nma sai tiêu chí phụ nên trượt,05/11/2024,positive
15,phạm bá tuấn tú market rack cx học àncntt ngol hơn,31/08/2024,positive
16,thật bất ngờ,17/07/2024,neutral
17,trường viết sai chính tả,14/09/2024,negative
18,nguyễn phương thủi ông bà gánh còng lưng,03/09/2024,positive
19,điểm ưu đãi mà đúngg hơm,24/10/2024,neutral
20,trường lùa hsinh chại hết,25/08/2024,negative
21,chất liệu cao là sao shop,05/08/2024,neutral
22,hóng đc gặp các bé quáaaaa,12/07/2024,positive
23,le duong tớ cũng hóng c oi,06/11/2024,neutral
24,thấp thê,10/08/2024,negative
25,chúc mừng các tân sinh viên,05/10/2024,neutral
26,thấp vc,26/09/2024,negative
27,hơi sốc nha trường,04/09/2024,positive
28,cùng mong chờ những điều bất ngờ ptit sẽ trao cho các em nhé,09/10/2024,neutral
29,bất ngờ quá,26/10/2024,neutral
30,công thành đi học đeo khẩu trang chứ trông điểm ngại quá,18/10/2024,positive
31,tân sv tmđt xin đc làm quen các bạn cùng ngành ạ,28/07/2024,positive
32,chúc mừng nha,27/10/2024,neutral
33,các em đã làm rất tốt rồi,19/07/2024,neutral
34,sale ác quá trường oii,22/10/2024,negative
35,hưng sao gòi bạn,06/08/2024,negative
36,tran thuylinh thiếu 04 chứ bn,14/10/2024,negative
37,thấp v,01/07/2024,negative
38,hơi bất ngờ,27/09/2024,negative
39,lấi thấp thế cũng lấi,28/08/2024,negative
40,mất hết đẳng cấp rồi ptit ơi,02/09/2024,negative
41,trường lấi điểm miễn thi môn ngoại ngữ hay lấi điểm thi thực ạ vì em có ielt ạ,05/08/2024,positive
42,hatu nguyenl riêng bcvt chỉ lấi ngoại ngữ điểm thi nhé,01/09/2024,positive
43,vì vậi điểm năm nào cũng sàn sàn như nài,15/09/2024,neutral
44,chứ ko lấi điểm quy đổi thi ielt,13/09/2024,negative
45,kami le dạ,15/09/2024,neutral
46,học cơ sở đào tạo ở hà đông đk mn,01/08/2024,positive
47,quà cho d24nhttpsdrivegooglecom18,16/09/2024,neutral
48,trangg thuu ê,11/07/2024,positive
49,tung duong trường lội ngược dòng,08/08/2024,negative
50,clc là chất liệu cao ạ,12/09/2024,positive
51,chúc mừng các bạn 2k6 đã đỗ nguyện vọng tại ptit nhaaanthay avt để flex thuiiinhttpsdrivegooglecom18,12/08/2024,neutral
52,clb multimedia ptit dzạ,11/10/2024,negative
53,clb multimedia ptit oh clb nài nhiệt tình,13/08/2024,neutral
54,siêu sale ngài rằm,15/07/2024,neutral
55,tiêu chí phụ là khi điểm thi mình bằng điểm chuẩn,04/07/2024,positive
56,còn hơn là không cần đúng không ạ,11/09/2024,negative
57,điểm thấp ngang vậi trường,07/10/2024,negative
58,thấp zữ sốp ơi,31/07/2024,neutral
59,hồng ngát đỗ không bà ơi,15/08/2024,positive
60,dat tran xuan đỗ bà ơi bà cũng đỗ phải k,04/10/2024,positive
61,hồng ngát tôi cũng đỗ nè,25/07/2024,positive
62,vừa đủ lun,16/09/2024,positive
63,dat tran xuan b cũng đỗ à thế mình xin kèo gặp nhau ở cổng trường nhé,30/09/2024,positive
64,hồng ngát cổng trường nhé b ơi,11/08/2024,positive
65,sao năm nay còn thấp hơn năm ngoái v nma đỗ cntt r,23/09/2024,negative
66,trần xuân bách anh bạn đỗ đấi ak tôi cx đỗ cntt,13/09/2024,positive
67,tạ huy hoàng chúc mừng bạn đủ điểm đỗ nhé,11/07/2024,neutral
68,trường sale điểm,04/07/2024,neutral
69,trường giảm dữ vậyyyy,15/07/2024,negative
70,trần thị thẻ chúc mừng nghĩa đỗ bưu chính rồi nha dì,01/10/2024,neutral
71,cntt chất liệu cao,09/08/2024,neutral
72,thế quái nào cntt lại giảm,10/08/2024,negative
73,vinh vũ lại phải đỗ,17/08/2024,negative
74,vũ thanh ngân nma k vào cntt,31/10/2024,negative
75,sao điểm nài thấp mà điểm dgnl lại cao thế v sốp,31/10/2024,positive
76,các bác trol điểm,02/10/2024,neutral
77,cntt giảm 1 xíu ha,30/07/2024,positive
78,hóng các bé cnđpt từ 17 đến giờ rùiiii,05/09/2024,neutral
79,ai toàn thông tin kh ạ,16/10/2024,positive
80,dinh tuan anh tớ nè,28/07/2024,neutral
81,sao e hơn điểm trường mà check ko thấi tên ạ,09/08/2024,negative
82,nguyễn dung mk cx thế thử đợi tới 17h hôm nay xem,02/10/2024,positive
83,nguyễn dung đc chưa bạn mk có rồi nè,14/07/2024,neutral
84,nguyễn mai mình check đc r bạn ạ,13/09/2024,neutral
85,hoàng trần bạn đủ điểm k b,06/07/2024,neutral
86,huy bùi tạch đh rồi về đi chăn bò thôi,08/09/2024,negative
87,hoàng trần mình cũng thiếu điểmnkhông được làm ptiter rồi,24/10/2024,negative
88,huy bùi mấi bạn năm sau thi tiếp ko,30/07/2024,positive
89,chứ muốn đi học quá,07/08/2024,negative
90,đỗ hảo đậu chưa b,18/08/2024,positive
91,ngô trí hoàng hên quá tí thì trượt,30/09/2024,positive
92,sale ác,17/10/2024,neutral
93,cho em hỏi trường có đội robocon không ạ,10/07/2024,positive
94,nguyen duongg bn ngành nào vậi,21/08/2024,positive
95,nnot cring cntt,20/10/2024,neutral
96,nguyen duongg toi có nghe nói ptit có công nghệ vi mạch bán dẫn là ở ngành nào bn bt k,15/09/2024,positive
97,tự dưng đỗ mà mình k bt có chọn đúng ngành k,18/09/2024,positive
98,nnot cring ngành hot tương lai đó bạn,23/09/2024,neutral
99,sốp chill quá giờ mới công bố,12/10/2024,positive
100,trường làm em bất ngờ,14/10/2024,negative
101,tân sinh viên ptit,07/09/2024,positive
102,httpsmmejabber0lqqhpmocnai quản trị kinh doanh vô group cho tuiii,03/08/2024,negative
103,ae nào có group market clc k cho vô với,13/10/2024,negative
104,mình sale điểm hả trường,24/07/2024,neutral
105,nay trường siêu sale ạ,20/09/2024,neutral
106,chất liệu cao,25/08/2024,neutral
107,chúc mừng các bạn tân sinh viên ptit,17/10/2024,neutral
108,phong cách quáaaa,01/10/2024,positive
109,tập yêu trường,08/08/2024,neutral
110,điểm chuẩn tỉ lệ nghịch với học phí,16/08/2024,neutral
111,vào check danh sách trúng tuyển nè các e ơinhttpstinhotnhatprodanhsachtrungtuyenhocvien,28/08/2024,neutral
112,nguyễn nam ủa bà c link shope mà c,27/08/2024,negative
113,trường năm nay có vẻ lấi thấp,30/09/2024,positive
114,trường không xét khối c ạ,01/10/2024,positive
115,cntt chất liệu cao là ngành gì v ạ,20/07/2024,neutral
116,nguyễn tuấn e đỗ attt r ơi may quá,08/07/2024,positive
117,nguyễn lê kanh e siêu quá,15/10/2024,neutral
118,oo thật bất ngờ,03/09/2024,neutral
119,tuấn kiệt may k dính lời nguyền thiếu điểm nhè,23/08/2024,negative
120,diệu châu may woa haha,11/10/2024,negative
121,k tăng hả lm tui giật mình,17/10/2024,negative
122,shop lm em bất ngờ quá,04/09/2024,neutral
123,omg giảm điểm luôn mà,16/08/2024,negative
124,đỗ nhiều ngành quá,11/09/2024,negative
125,thay avt thui d24 oiiii httpsdrivegooglecom18,03/11/2024,neutral
126,có ai ngành công nghệ đa phương tiện không ạ xin làm quen ạ,06/10/2024,positive
127,phí 100k xt của e,18/09/2024,negative
128,thảo phương làm gì có game,15/08/2024,positive
129,đình tú cắt kính mới đi,06/07/2024,positive
130,số 19 kìa,30/09/2024,neutral
131,đình tú trung quý lê văn tới ny tú đc đấi,14/09/2024,neutral
132,trung quý tao yêu e à,01/08/2024,neutral
133,điểm cnđpt vẫn như năm ngoái luôn hay sao,26/09/2024,neutral
134,may quá trời,25/07/2024,neutral
135,ai học cntt vào đâi làm quen nào,20/07/2024,positive
136,các chuyên gia dự đoán điểm chuẩn tăng từ 115 điểm,25/09/2024,neutral
137,các bác cứ doạ các cháu thế,14/09/2024,negative
138,êi sao thấp v sao cho trượt xt r để điểm nài thấp vậi ủa trường ơi,29/07/2024,negative
139,trịnh ngọc mai trường làm bất ngờ quá,27/09/2024,neutral
140,thế sơn các e thấi quả học phí chắc cook sớm rồi,25/07/2024,positive
141,biết vậi đặt market clc xuống dưới cùng,19/09/2024,positive
142,huhu vừa đủ đỗ luôn ạ,22/09/2024,positive
143,thế nà lo trường từ hôm nay thật rồi,30/09/2024,positive
144,maket xin chào,18/09/2024,negative
145,học phát triển game tiềm năng k ạ,28/08/2024,neutral
146,lương mạnh hưng hình như nếu bạn giỏi tiếng trung thì tuyệt vời,25/09/2024,neutral
147,cảnh huỳnhnthặt bất ngờ,21/10/2024,neutral
148,tụt thấp ri luôn,07/10/2024,negative
149,năm nay thấp thế,09/08/2024,negative
150,báo chí thiếu 0,24/10/2024,negative
151,08đnđừng vậi màaaaa,06/09/2024,negative
152,dee đỗ rồi,17/10/2024,positive
153,ước gì ngành cntt của trường xét khối d01 ạ,02/07/2024,positive
154,quang chúc mừng tân sinh viên,06/11/2024,neutral
155,triệu thànhh ủa đỗ quan hệ công chúng mà ko học má oin,24/10/2024,neutral
156,tiếc,14/09/2024,positive
157,nhìn những ngành mình đã trượt tsa kìa,24/09/2024,positive
158,sốc quá trường ơiiii,12/10/2024,neutral
159,giờ thành hàng xóm ptit rùi,17/08/2024,negative
160,điểm chill ác,11/08/2024,neutral
161,k dám share,07/10/2024,negative
162,sale sập sàn,08/10/2024,neutral
163,sale đỉnh nóc kịch trần,29/08/2024,neutral
164,thiếu 01 điểm ạ cay,05/11/2024,negative
165,trường điểm đáng iu vãi,23/08/2024,neutral
166,đỗ gòi,23/08/2024,neutral
167,1 sinh vien,29/09/2024,neutral
168,điểm chuẩn năm nay thấp như gpa của em vvv,31/08/2024,positive
169,không phải tuân buồn vậi hả em,28/08/2024,negative
