Unnamed: 0,comment,timestamp,label
0,['Cốc cafe sáng xứng đáng chưa các PTITers ơi. Chúc mừng các bạn D24. PTIT đi chuẩn bị quà chào đón các bạn tựu trường đây',15/07/2024,neutral
1, 'Bất ngờ quá năm nay siêu sale',27/09/2024,neutral
2, 'Xin chúc mừng các bạn D24. Đừng quên follow fanpage Đoàn thanh niên Học viện Công nghệ Bưu chính Viễn thông để cập nhật những hoạt động thú vị dành cho các bạn tân sinh viên nhé.',30/09/2024,neutral
3, 'Đoàn thanh niên Học viện Công nghệ Bưu chính Viễn thông Hóng chào tân năm nay quá đi ạaa',12/10/2024,neutral
4, 'Chúc mừng các bạn D24 PTIT',31/07/2024,neutral
5, 'Ai học báo chí khummm',26/08/2024,negative
6, 'Van Anh chào nàng',05/09/2024,neutral
7, 'Nguyen Anh Thơ hí',26/08/2024,positive
8, 'Van Anh tớ',04/07/2024,neutral
9, 'Thanh Mai',11/09/2024,positive
10, 'Van Anh toi',05/09/2024,neutral
11, 'Lâm Thành',01/10/2024,neutral
12, 'Van Anh tớ đây',01/09/2024,neutral
13, 'Hà Chinh',13/10/2024,neutral
14, 'Bằng điểm đỗ nma sai tiêu chí phụ nên trượt',05/11/2024,positive
15, 'Phạm Bá Tuấn Tú marketing rack cx học à\nCntt ngol hơn',31/08/2024,positive
16, 'Thật bất ngờ,17/07/2024,neutral
17, trường viết sai chính tả',14/09/2024,negative
18, 'Nguyễn Phương Thủy ông bà gánh còng lưng',03/09/2024,positive
19, 'điểm ưu đãi mà đúngg hơm',24/10/2024,neutral
20, 'Trường lùa hsinh chạy hết',25/08/2024,negative
21, 'CHẤT LIỆU CAO là sao shop',05/08/2024,neutral
22, 'hóng đc gặp các bé quáaaaa',12/07/2024,positive
23, 'Le Duong tớ cũng hóng c oi',06/11/2024,neutral
24, 'thấp thê=)',10/08/2024,negative
25, 'Chúc mừng các tân sinh viên',05/10/2024,neutral
26, 'thấp vc',26/09/2024,negative
27, 'hơi sốc nha trường :)))',04/09/2024,positive
28, 'cùng mong chờ những điều bất ngờ PTIT sẽ trao cho các em nhé',09/10/2024,neutral
29, 'Bất ngờ quá',26/10/2024,neutral
30, 'Công Thành đi học đeo khẩu trang chứ trông điểm ngại quá =)))',18/10/2024,positive
31, 'Tân sv TMĐT xin đc làm quen các bạn cùng ngành ạ',28/07/2024,positive
32, 'chúc mừng nha,27/10/2024,neutral
33, các em đã làm rất tốt rồi',19/07/2024,neutral
34, 'sale ác quá trường oii',22/10/2024,negative
35, 'Hưng sao gòi bạn',06/08/2024,negative
36, 'Tran ThuyLinh thiếu 0.4 chứ s bn =)))',14/10/2024,negative
37, 'thấp v',01/07/2024,negative
