,comment,timestamp
0,['Cốc cafe sáng xứng đáng chưa các PTITers ơi. Chúc mừng các bạn D24. PTIT đi chuẩn bị quà chào đón các bạn tựu trường đây',15/07/2024
1, 'Bất ngờ quá năm nay siêu sale',27/09/2024
2, 'Xin chúc mừng các bạn D24. Đừng quên follow fanpage Đoàn thanh niên Học viện Công nghệ Bưu chính Viễn thông để cập nhật những hoạt động thú vị dành cho các bạn tân sinh viên nhé.',30/09/2024
3, 'Đoàn thanh niên Học viện Công nghệ Bưu chính Viễn thông Hóng chào tân năm nay quá đi ạaa',12/10/2024
4, 'Chúc mừng các bạn D24 PTIT',31/07/2024
5, 'Ai học báo chí khummm',26/08/2024
6, 'Van Anh chào nàng',05/09/2024
7, 'Nguyen Anh Thơ hí',26/08/2024
8, 'Van Anh tớ',04/07/2024
9, 'Thanh Mai',11/09/2024
10, 'Van Anh toi',05/09/2024
11, 'Lâm Thành',01/10/2024
12, 'Van Anh tớ đây',01/09/2024
13, 'Hà Chinh',13/10/2024
14, 'Bằng điểm đỗ nma sai tiêu chí phụ nên trượt',05/11/2024
15, 'Phạm Bá Tuấn Tú marketing rack cx học à\nCntt ngol hơn',31/08/2024
16, 'Thật bất ngờ,17/07/2024
17, trường viết sai chính tả',14/09/2024
18, 'Nguyễn Phương Thủy ông bà gánh còng lưng',03/09/2024
19, 'điểm ưu đãi mà đúngg hơm',24/10/2024
20, 'Trường lùa hsinh chạy hết',25/08/2024
21, 'CHẤT LIỆU CAO là sao shop',05/08/2024
22, 'hóng đc gặp các bé quáaaaa',12/07/2024
23, 'Le Duong tớ cũng hóng c oi',06/11/2024
24, 'thấp thê=)',10/08/2024
25, 'Chúc mừng các tân sinh viên',05/10/2024
26, 'thấp vc',26/09/2024
27, 'hơi sốc nha trường :)))',04/09/2024
28, 'cùng mong chờ những điều bất ngờ PTIT sẽ trao cho các em nhé',09/10/2024
29, 'Bất ngờ quá',26/10/2024
30, 'Công Thành đi học đeo khẩu trang chứ trông điểm ngại quá =)))',18/10/2024
31, 'Tân sv TMĐT xin đc làm quen các bạn cùng ngành ạ',28/07/2024
32, 'chúc mừng nha,27/10/2024
33, các em đã làm rất tốt rồi',19/07/2024
34, 'sale ác quá trường oii',22/10/2024
35, 'Hưng sao gòi bạn',06/08/2024
36, 'Tran ThuyLinh thiếu 0.4 chứ s bn =)))',14/10/2024
37, 'thấp v',01/07/2024
38, 'Hơi bất ngờ',27/09/2024
39, 'Lấy thấp thế cũng lấy ,28/08/2024
40, mất hết đẳng cấp rồi ptit ơi',02/09/2024
41, 'Trường lấy điểm miễn thi môn ngoại ngữ hay lấy điểm thi thực ạ . Vì em có IELTS ạ',05/08/2024
42, 'HaTu NguyenLe riêng BCVT chỉ lấy ngoại ngữ điểm thi nhé,01/09/2024
43, vì vậy điểm năm nào cũng sàn sàn như này,15/09/2024
44, chứ ko lấy điểm quy đổi thi ielts',13/09/2024
45, 'Kamy Le dạ',15/09/2024
46, 'Học cơ sở đào tạo ở Hà Đông đk mn',01/08/2024
47, 'Quà cho d24\nhttps://drive.google.com/.../18s...',16/09/2024
48, 'Trangg Thuu ê ???',11/07/2024
49, 'Tung Duong trường lội ngược dòng :))',08/08/2024
50, 'CLC là chất liệu cao ạ',12/09/2024
51, 'Chúc mừng các bạn 2k6 đã đỗ nguyện vọng tại PTIT nhaaa\nthay avt để flex thuiii\nhttps://drive.google.com/.../18s...',12/08/2024
52, 'CLB Multimedia PTIT dzạ',11/10/2024
53, 'CLB Multimedia PTIT oh clb này nhiệt tình',13/08/2024
54, 'siêu sale ngày rằm',15/07/2024
55, 'tiêu chí phụ là khi điểm thi mình bằng điểm chuẩn,04/07/2024
56,còn hơn là không cần đúng không ạ',11/09/2024
57, ':))))) điểm thấp ngang vậy trường',07/10/2024
58, 'Thấp zữ sốp ơi =)))',31/07/2024
59, 'Hồng Ngát đỗ không bà ơi',15/08/2024
60, 'Dat Tran Xuan đỗ bà ơi :)) bà cũng đỗ phải k',04/10/2024
61, 'Hồng Ngát tôi cũng đỗ nè,25/07/2024
62, vừa đủ lun :))',16/09/2024
63, 'Dat Tran Xuan b cũng đỗ à =))) thế mình xin kèo gặp nhau ở cổng trường nhé',30/09/2024
64, 'Hồng Ngát cổng trường nhé b ơi =)))',11/08/2024
65, 'Sao năm nay còn thấp hơn năm ngoái v nma đỗ cntt r :))',23/09/2024
66, 'Trần Xuân Bách anh bạn đỗ đấy ak :)) tôi cx đỗ cntt',13/09/2024
67, 'Tạ Huy Hoàng chúc mừng bạn đủ điểm đỗ nhé!!',11/07/2024
68, 'Trường sale điểm',04/07/2024
69, 'Trường giảm dữ vậyyyy',15/07/2024
70, 'Trần Thị Thẻ chúc mừng Nghĩa đỗ Bưu chính rồi nha dì',01/10/2024
71, 'Cntt chất liệu cao',09/08/2024
72, 'Thế quái nào cntt lại giảm',10/08/2024
73, 'Vinh Vũ lại phải đỗ',17/08/2024
74, 'Vũ Thanh Ngân nma k vào cntt',31/10/2024
75, 'Sao điểm này thấp mà điểm dgnl lại cao thế v sốp',31/10/2024
76, 'các bác trol điểm',02/10/2024
77, 'cntt giảm 1 xíu ha!!!',30/07/2024
78, 'Hóng các bé CNĐPT từ 17 đến giờ rùiiii',05/09/2024
79, 'Ai an toàn thông tin kh ạ',16/10/2024
80, 'Dinh Tuan Anh tớ nè',28/07/2024
81, 'Sao e hơn điểm trường mà check ko thấy tên ạ',09/08/2024
82, 'Nguyễn Dung mk cx thế thử đợi tới 17h hôm nay xem',02/10/2024
83, 'Nguyễn Dung đc chưa bạn mk có rồi nè',14/07/2024
84, 'Nguyễn Mai mình check đc r bạn ạ',13/09/2024
85, 'Hoàng Trần bạn đủ điểm k b',06/07/2024
86, 'Huy Bùi tạch đh rồi về đi chăn bò thôi',08/09/2024
87, 'Hoàng Trần mình cũng thiếu điểm\nkhông được làm Ptiter rồi',24/10/2024
88, 'Huy Bùi mấy bạn năm sau thi tiếp ko,30/07/2024
89, chứ t muốn đi học quá',07/08/2024
90, 'Đỗ Hảo Đậu chưa b',18/08/2024
91, 'Ngô Trí Hoàng hên quá tí thì trượt',30/09/2024
92, 'Sale ác',17/10/2024
93, 'cho em hỏi trường có đội Robocon không ạ',10/07/2024
94, 'Nguyen Duongg bn ngành nào vậy :))',21/08/2024
95, 'Nnot Cringe cntt',20/10/2024
96, 'Nguyen Duongg toi có nghe nói ptit có công nghệ vi mạch bán dẫn là ở ngành nào bn bt k,15/09/2024
97, tự dưng đỗ mà mình k bt có chọn đúng ngành k',18/09/2024
98, 'Nnot Cringe ngành hot tương lai đó bạn',23/09/2024
99, 'Sốp chill quá giờ mới công bố',12/10/2024
100, 'trường làm em bất ngờ:))))))',14/10/2024
101, 'Tân sinh viên Ptit :)))',07/09/2024
102, 'https://m.me/j/AbbeR0LqQhPMo--C/\nAi quản trị kinh doanh vô group cho tuiii',03/08/2024
